timestamp,heart_rate,steps,calories,sleep_hours
2025-01-12T20:51:19.464841,63,2176,1727,5.7
2025-01-12T21:06:19.464841,80,4477,1330,8.0
2025-01-12T21:21:19.464841,63,7947,1474,4.2
2025-01-12T21:36:19.464841,112,2943,1543,6.9
2025-01-12T21:51:19.464841,118,1973,1785,6.7
2025-01-12T22:06:19.464841,98,1590,2064,6.2
2025-01-12T22:21:19.464841,98,4438,1020,5.0
2025-01-12T22:36:19.464841,96,278,1176,7.1
2025-01-12T22:51:19.464841,64,1056,1951,7.8
2025-01-12T23:06:19.464841,83,1341,2238,5.3
2025-01-12T23:21:19.464841,104,9273,1659,5.0
2025-01-12T23:36:19.464841,97,3894,1684,8.0
2025-01-12T23:51:19.464841,66,3839,2328,8.6
2025-01-13T00:06:19.464841,120,7604,905,7.4
2025-01-13T00:21:19.464841,119,3639,912,4.8
2025-01-13T00:36:19.464841,85,7117,2174,6.5
2025-01-13T00:51:19.464841,88,9571,2490,7.9
2025-01-13T01:06:19.464841,113,5518,1383,7.0
2025-01-13T01:21:19.464841,63,7559,2460,8.7
2025-01-13T01:36:19.464841,94,3020,2056,6.1
2025-01-13T01:51:19.464841,105,7791,1167,5.0
2025-01-13T02:06:19.464841,79,7113,2440,8.0
2025-01-13T02:21:19.464841,83,9259,1053,4.8
2025-01-13T02:36:19.464841,72,5441,1427,5.2
2025-01-13T02:51:19.464841,95,8258,2174,6.5
2025-01-13T03:06:19.464841,77,307,894,6.0
2025-01-13T03:21:19.464841,62,3204,1532,8.0
2025-01-13T03:36:19.464841,104,8170,1985,8.1
2025-01-13T03:51:19.464841,92,6995,1084,7.3
2025-01-13T04:06:19.464841,66,10000,916,7.2
2025-01-13T04:21:19.464841,82,6458,1395,5.2
2025-01-13T04:36:19.464841,82,4344,1918,6.0
2025-01-13T04:51:19.464841,61,5131,1624,5.4
2025-01-13T05:06:19.464841,92,6328,1378,8.6
2025-01-13T05:21:19.464841,80,2038,1821,7.5
2025-01-13T05:36:19.464841,108,2071,2219,6.5
2025-01-13T05:51:19.464841,97,5206,997,5.9
2025-01-13T06:06:19.464841,95,8522,896,4.9
2025-01-13T06:21:19.464841,81,3571,1850,5.6
2025-01-13T06:36:19.464841,80,4205,986,5.4
2025-01-13T06:51:19.464841,99,6212,2008,8.2
2025-01-13T07:06:19.464841,74,1338,2012,4.5
2025-01-13T07:21:19.464841,107,4754,1209,6.0
2025-01-13T07:36:19.464841,83,1641,1385,5.8
2025-01-13T07:51:19.464841,117,5750,941,8.0
2025-01-13T08:06:19.464841,71,2977,1929,8.1
2025-01-13T08:21:19.464841,92,416,1552,6.5
2025-01-13T08:36:19.464841,106,7648,2414,7.2
2025-01-13T08:51:19.464841,98,2554,1196,8.3
2025-01-13T09:06:19.464841,93,8335,2088,7.8
2025-01-13T09:21:19.464841,84,2341,1983,4.2
2025-01-13T09:36:19.464841,87,5449,1579,4.2
2025-01-13T09:51:19.464841,99,9712,2182,4.2
2025-01-13T10:06:19.464841,87,3369,1975,5.9
2025-01-13T10:21:19.464841,89,1576,2074,7.3
2025-01-13T10:36:19.464841,89,9123,1048,5.5
2025-01-13T10:51:19.464841,61,8627,1211,8.2
